First_pokemon,Second_pokemon,Winner,id_x,First_Type_1,First_Total,First_Hit_points,First_Attack,First_Defense,First_Special_attack,First_Special_defense,First_Speed,id_y,Second_Type_1,Second_Total,Second_Hit_points,Second_Attack,Second_Defense,Second_Special_attack,Second_Special_defense,Second_Speed,target
266,298,298,266,Rock,300,50,64,50,45,50,41,298,Grass,340,70,70,40,60,40,60,0
702,701,701,702,Grass,580,91,90,72,90,129,108,701,Rock,580,91,129,90,72,90,108,0
191,668,668,191,Fairy,405,55,40,85,80,105,40,668,Psychic,485,75,75,75,125,95,40,0
237,683,683,237,Fire,250,40,40,40,70,40,20,683,Dragon,485,77,120,90,60,90,48,0
151,231,151,151,Rock,495,70,60,125,115,70,55,231,Bug,505,20,10,230,10,230,5,1
657,752,657,657,Bug,319,50,47,50,57,50,65,752,Steel,520,60,50,150,50,150,60,1
192,134,134,192,Psychic,320,40,50,45,70,45,70,134,Ice,455,65,50,35,115,95,95,0
73,545,545,73,Fighting,305,70,80,50,35,35,35,545,Ghost,680,150,100,120,100,120,90,0
220,763,763,220,Bug,290,50,65,90,35,35,15,763,Water,330,50,53,62,58,63,44,0
302,31,31,302,Water,270,40,30,30,55,30,85,31,Electric,320,35,55,40,50,50,90,0
442,130,130,442,Normal,245,40,55,30,30,30,60,130,Water,340,30,45,55,70,55,85,0
701,624,701,701,Rock,580,91,129,90,72,90,108,624,Ghost,303,38,30,85,55,65,30,1
15,283,283,15,Bug,205,50,20,55,25,25,30,283,Water,535,100,110,90,85,90,60,0
151,87,151,151,Rock,495,70,60,125,115,70,55,87,Water,490,95,75,110,100,80,30,1
269,462,269,269,Rock,700,100,164,150,95,120,71,462,Bug,424,70,94,50,94,50,66,1
763,448,448,763,Water,330,50,53,62,58,63,44,448,Bug,384,77,85,51,55,51,65,0
143,263,263,143,Water,535,130,85,80,85,95,60,263,Electric,580,90,85,75,115,100,115,0
365,240,240,365,Normal,310,45,40,60,40,75,50,240,Ice,450,100,100,80,60,60,50,0
499,774,499,499,Fighting,625,70,145,88,140,70,112,774,Rock,500,50,50,150,50,150,50,1
563,578,563,563,Water,528,95,100,85,108,70,70,578,Psychic,487,116,55,85,107,95,29,1
440,687,687,440,Water,405,64,66,68,81,76,50,687,Dark,490,65,125,100,60,70,70,0
373,441,441,373,Water,468,110,78,73,76,71,60,441,Water,530,84,86,88,111,101,60,0
